model	dataset	trained	epoch_no	perturb_mec	sigma	clip_norm	batch_size	num_images	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	opt_score	psnr	test_mse	feat_mse	target_id	timing	dtype	val_acc	rec_img	gt_img
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	-0.0000	69.0683	0.0000	0.0000	7935	0:00:49.398243	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	-0.0000	75.9678	0.0000	0.0000	7921	0:00:47.973243	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0000	63.4973	0.0000	0.0000	6074	0:00:43.332397	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0000	66.8860	0.0000	0.0000	9381	0:00:45.960073	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0033	49.5145	0.0001	0.0000	4691	0:00:43.949064	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0131	37.4956	0.0019	0.0000	3619	0:00:43.385411	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	-0.0000	74.0366	0.0000	0.0000	368	0:00:42.621356	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0015	61.1311	0.0000	0.0000	3384	0:00:46.529350	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0000	60.3384	0.0000	0.0000	8116	0:00:45.426759	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0067	40.9386	0.0008	0.0000	7997	0:00:46.468084	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0254	55.2426	0.0000	0.0000	7235	0:00:44.963543	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0000	66.0305	0.0000	0.0000	3729	0:00:43.520276	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0039	50.3879	0.0001	0.0000	961	0:00:43.552143	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0068	47.3737	0.0002	0.0000	3114	0:00:43.504425	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0118	41.2806	0.0008	0.0000	7565	0:00:44.744920	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0000	66.1265	0.0000	0.0000	1764	0:00:44.915206	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0201	35.9743	0.0027	0.0000	2653	0:00:43.803805	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0059	45.3791	0.0003	0.0000	3158	0:00:52.742425	torch.float32			
mnist mlp	mnist	False	1	ALG_NoGaussSGD	0.0005	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0100	53.0352	0.0001	0.0000	8056	0:00:41.593014	torch.float32			
