model	dataset	trained	epoch_no	perturb_mec	sigma	epsilon	clip_norm	batch_size	num_images	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	opt_score	psnr	test_mse	feat_mse	target_id	timing	dtype	val_acc	rec_img	gt_img
mnist mlp	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0105	33.7169	0.0045	0.0002	3305	0:02:04.613434	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0407	27.5651	0.0185	0.0001	320	0:01:41.911957	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0255	28.6525	0.0144	0.0005	9485	0:01:46.848590	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0289	22.4966	0.0593	0.0013	4250	0:01:49.019814	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0888	17.8144	0.1742	0.0011	6154	0:01:48.931982	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0368	23.7240	0.0447	0.0009	6460	0:02:04.435664	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0282	27.7282	0.0178	0.0004	8973	0:02:24.087140	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0384	31.0474	0.0083	0.0002	2076	0:02:24.115511	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0269	30.1351	0.0102	0.0004	8874	0:00:55.519044	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0346	24.5349	0.0371	0.0005	1281	0:02:15.541622	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0284	27.7929	0.0175	0.0006	9680	0:01:44.564640	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0208	33.0169	0.0053	0.0001	8181	0:01:49.616416	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0381	22.9528	0.0534	0.0021	4150	0:02:08.250937	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0514	21.3977	0.0764	0.0027	8131	0:02:24.049056	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0371	30.3157	0.0098	0.0002	9051	0:02:33.918227	torch.float32	1.0		
mnist mlp	MNIST	False	3	ALG_rGaussAGrad16	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0428	24.9483	0.0337	0.0008	5022	0:04:09.369893	torch.float32	1.0		
mnist mlp	MNIST	False	9	ALG_eGaussAGrad22	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0824	22.7006	0.0566	0.0015	7873	0:09:00.007732	torch.float32	1.0		
mnist mlp	MNIST	False	9	ALG_eGaussAGrad22	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0356	24.2294	0.0398	0.0008	3929	0:08:59.732411	torch.float32	1.0		
mnist mlp	MNIST	False	9	ALG_eGaussAGrad22	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0402	29.9474	0.0107	0.0002	5253	0:06:47.456673	torch.float32	1.0		
mnist mlp	MNIST	False	9	ALG_eGaussAGrad22	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0142	28.9001	0.0136	0.0003	3586	0:05:23.361088	torch.float32	1.0		
mnist mlp	MNIST	False	9	ALG_eGaussAGrad22	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0302	31.0150	0.0083	0.0002	263	0:04:12.760971	torch.float32	1.0		
mnist mlp	MNIST	False	9	ALG_eGaussAGrad22	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0107	28.7611	0.0140	0.0001	9378	0:03:42.050636	torch.float32	1.0		
mnist cnn	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0062	44.1232	0.0004	0.0000	5133	0:10:33.886769	torch.float32	1.0		
mnist cnn	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0036	42.9670	0.0005	0.0000	9825	0:09:45.437085	torch.float32	1.0		
mnist cnn	MNIST	False	5	ALG_NoGaussSGD	1e-05	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0027	43.9467	0.0004	0.0000	8510	0:10:10.297990	torch.float32	1.0		
