model	dataset	trained	epoch_no	perturb_mec	sigma	epsilon	clip_norm	batch_size	num_images	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	opt_score	psnr	test_mse	feat_mse	target_id	timing	dtype	val_acc	rec_img	gt_img
mnist mlp	MNIST	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	3	1	ours	sim	def	equal	loss	randn	0.0001	0.0012	53.4307	0.0001	0.0000	[7536, 738, 5387]	0:00:48.604468	torch.float32	1.0		
mnist mlp	MNIST	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	3	1	ours	sim	def	equal	loss	randn	0.0001	0.0215	41.2150	0.0008	0.0000	[6574, 8987, 1858]	0:01:09.014369	torch.float32	1.0		
mnist mlp	MNIST	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	3	1	ours	sim	def	equal	loss	randn	0.0001	0.0079	40.6331	0.0010	0.0000	[2834, 4795, 8304]	0:01:39.009842	torch.float32	1.0		
mnist mlp	MNIST	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	3	1	ours	sim	def	equal	loss	randn	0.0001	0.0009	57.3907	0.0000	0.0000	[3195, 2441, 4598]	0:01:38.614407	torch.float32	1.0		
mnist mlp	MNIST	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	3	1	ours	sim	def	equal	loss	randn	0.0001	0.0217	40.8970	0.0033	0.0000	[3334, 5654, 5527]	0:01:38.586177	torch.float32	1.0		
mnist mlp	MNIST	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	3	1	ours	sim	def	equal	loss	randn	0.0001	0.0119	34.8582	0.0044	0.0000	[474, 3893, 1613]	0:01:38.926169	torch.float32	1.0		
mnist mlp	MNIST	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	3	1	ours	sim	def	equal	loss	randn	0.0001	0.0017	55.3879	0.0001	0.0000	[2059, 3262, 1944]	0:01:39.317185	torch.float32	1.0		
mnist mlp	MNIST	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	3	1	ours	sim	def	equal	loss	randn	0.0001	0.0126	41.6696	0.0013	0.0000	[594, 3202, 3173]	0:01:37.386734	torch.float32	1.0		
mnist mlp	MNIST	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	3	1	ours	sim	def	equal	loss	randn	0.0001	0.0015	53.7070	0.0000	0.0000	[1643, 9676, 8132]	0:01:36.768042	torch.float32	1.0		
mnist mlp	MNIST	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	3	1	ours	sim	def	equal	loss	randn	0.0001	0.0000	68.2594	0.0000	0.0000	[3481, 8008, 6608]	0:01:39.143353	torch.float32	1.0		
resnet34	CIFAR10	False	1	ALG_NoGaussSGD	5e-06	1	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0048	12.4276	1.0017	1.7244	[2036, 6139, 2451, 3876, 4950, 5714, 7987, 7260]	1:44:26.826891	torch.float32	1.0
resnet34	CIFAR10	False	1	ALG_NoGaussSGD	5e-06	1	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0056	12.9053	0.8388	0.9825	[6597, 2549, 7693, 6501, 1427, 8589, 1986, 2071]	1:52:34.536608	torch.float32	1.0		
resnet34	CIFAR10	False	1	ALG_NoGaussSGD	5e-06	1	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0061	13.0525	0.9212	8.6412	[2683, 2277, 7403, 9152, 7498, 5159, 7136, 485]	1:43:40.251101	torch.float32	1.0		
resnet34	CIFAR10	False	1	ALG_NoGaussSGD	5e-06	1	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0070	11.6743	1.1878	7.1454	[2445, 4108, 4509, 9995, 447, 3360, 2285, 7315]	1:22:19.058874	torch.float32	1.0		
resnet34	CIFAR10	False	1	ALG_NoGaussSGD	5e-06	1	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0044	13.7867	0.7684	13.9096	[8786, 4031, 5931, 3815, 5707, 8993, 5753, 415]	1:19:17.956742	torch.float32	1.0		
resnet34	CIFAR10	False	1	ALG_NoGaussSGD	5e-06	1	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0073	11.9458	1.1047	13.4108	[9153, 4683, 5877, 885, 616, 2074, 9770, 7148]	1:04:27.656383	torch.float32	1.0		
resnet34	CIFAR10	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	6	1	ours	sim	def	equal	loss	randn	0.0001	0.0053	16.9052	0.4901	31.2258	[1932, 9685, 5648, 9295, 5562, 9431]	1:46:51.550272	torch.float32	1.0		
resnet34	CIFAR10	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	6	1	ours	sim	def	equal	loss	randn	0.0001	0.0064	15.1575	0.5404	8.6386	[5367, 1568, 9051, 7905, 4747, 814]	1:51:09.425417	torch.float32	1.0		
resnet34	CIFAR10	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	6	1	ours	sim	def	equal	loss	randn	0.0001	0.0057	13.2292	0.7766	7.0597	[4158, 6407, 7470, 1192, 2184, 3139]	1:48:57.981519	torch.float32	1.0		
resnet34	CIFAR10	False	1	ALG_rGaussAGrad16	5e-06	1	4	50	6	1	ours	sim	def	equal	loss	randn	0.0001	0.0058	12.6822	1.3103	11.3937	[666, 9582, 5797, 4848, 6862, 3331]	1:36:15.359379	torch.float32	1.0		
