model	dataset	trained	epoch_no	perturb_mec	sigma	epsilon	clip_norm	batch_size	num_images	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	opt_score	psnr	test_mse	feat_mse	target_id	timing	dtype	val_acc	rec_img	gt_img
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0089	29.1542	0.2019	0.0014	[2982, 1612, 2372, 1421, 9621, 2383, 9261, 2464]	0:01:26.048631	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0068	30.0167	0.4141	0.0016	[8708, 8129, 2250, 1547, 3299, 8294, 7745, 3555]	0:01:36.921947	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0078	36.3930	0.0030	0.0000	[8038, 297, 3759, 6492, 9925, 6769, 6948, 6407]	0:01:33.994269	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0079	24.2942	0.4075	0.0044	[5169, 1625, 4316, 4616, 7855, 2700, 7552, 822]	0:02:07.692852	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0048	33.5557	0.3145	0.0024	[1186, 3592, 8743, 6343, 2717, 1595, 9400, 2408]	0:02:27.932205	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0008	39.0566	0.2636	0.0013	[4021, 4008, 321, 5931, 9982, 1814, 4111, 2846]	0:02:30.552568	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0049	43.1466	0.0008	0.0000	[6874, 9192, 3442, 2512, 4463, 354, 5958, 4516]	0:02:40.302554	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_NoGaussSGD	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0172	27.6758	0.2396	0.0009	[2701, 2965, 7007, 9618, 5082, 3159, 6046, 6960]	0:02:57.017751	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0084	28.9418	0.3444	0.0013	[6680, 6681, 8069, 6650, 1759, 2068, 8987, 5573]	0:02:52.040434	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0242	21.1867	0.4964	0.0020	[4646, 9848, 9759, 6072, 1257, 2856, 1845, 2700]	0:02:46.786120	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	0.0001	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0069	30.2733	0.4550	0.0051	[599, 6977, 1630, 6603, 2970, 5671, 4583, 2165]	0:02:29.573033	torch.float32	1.0		gaussian
mnist mlp	MNIST	False	4	ALG_rGaussAGrad16	5e-05	300000.0	4	50	8	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	34.7695	0.4418	0.0017	[6189, 9830, 1754, 2945, 6594, 9978, 8927, 4305]	0:02:32.055512	torch.float32	1.0		gaussian
